hue_median	brightness_median	saturation_median
7	142	38
35	122	62
36	113	48
36	100	49
34	153	81
31	148	61
29	120	129
29	176	96
24	169	78
29	127	122
27	249	38
28	202	81
25	225	69
30	119	100
30	120	122
30	130	107
42	130	18
34	138	25
25	139	46
31	118	31
31	168	22
31	134	15
26	146	28
26	120	86
31	140	67
30	135	75
30	123	93
25	153	88
25	116	93
30	117	94
31	103	102
30	115	101
30	142	80
31	142	73
29	144	85
30	135	94
29	143	83
29	137	84
29	138	89
30	142	85
28	145	106
27	139	114
51	130	11
29	145	83
127	159	9
116	155	7
130	164	12
130	164	12
130	164	12
127	98	38
138	105	35
36	114	74
32	141	114
32	120	106
28	122	112
30	130	40
28	102	102
30	122	113
29	102	109
23	144	99
30	110	111
124	102	48
134	115	26
104	130	18
127	132	29
127	155	25
102	164	30
47	118	21
51	139	14
34	138	55
136	157	41
124	116	55
133	105	102
132	145	43
51	137	12
120	139	20
134	86	28
130	97	33
138	102	37
127	109	30
131	97	35
131	103	38
120	89	44
139	131	16
155	161	44
158	141	26
136	131	58
28	142	142
59	114	30
60	113	22
36	90	62
127	142	30
127	138	35
132	141	33
131	146	35
31	157	20
36	142	17
32	153	60
34	143	21
36	144	35
33	147	27
127	151	29
135	160	70
138	162	75
59	149	19
70	148	27
70	145	22
123	137	21
125	149	36
123	148	24
130	148	38
93	128	21
150	110	33
156	109	28
163	150	12
121	155	19
123	134	13
10	197	56
28	169	72
26	164	93
24	163	97
30	148	48
12	172	63
11	168	29
34	169	41
34	169	41
28	141	105
29	132	121
42	104	38
29	95	53
24	102	119
60	126	14
93	125	16
70	119	16
56	125	14
127	123	24
112	121	22
112	121	19
113	133	8
56	125	14
102	94	40
109	73	36
113	120	18
113	108	44
123	122	37
34	121	13
27	141	16
24	143	20
28	135	16
19	140	20
29	138	17
42	132	9
36	135	13
34	135	13
26	139	19
49	142	14
42	141	12
29	147	34
33	123	26
30	130	46
36	133	28
51	142	9
24	134	58
24	127	57
29	121	21
51	141	8
51	140	8
50	148	9
51	146	10
51	147	8
44	153	34
49	153	16
49	162	16
36	149	39
94	107	26
59	145	14
42	139	5
23	178	36
56	117	16
26	156	45
36	120	32
29	147	13
56	104	28
16	142	37
27	128	82
18	206	111
26	120	146
23	143	119
30	167	29
34	129	13
24	156	60
23	158	56
26	160	41
26	124	24
28	115	30
23	150	72
24	158	111
22	191	99
26	134	47
25	145	45
18	141	22
22	149	14
31	143	23
31	139	27
19	143	18
18	141	24
23	112	19
21	147	23
31	135	22
25	155	60
20	170	53
22	145	62
16	148	41
20	144	44
29	103	60
23	108	16
26	125	23
26	90	19
42	93	19
29	88	20
28	97	17
18	147	28
21	142	95
20	179	99
23	154	103
22	154	103
23	153	102
22	140	98
23	140	101
22	149	94
22	149	92
23	177	116
25	153	99
25	122	94
30	121	12
25	146	96
24	140	100
22	144	105
38	124	80
51	125	27
59	94	37
93	126	13
106	132	13
59	106	14
44	125	26
36	197	19
34	113	75
31	111	92
59	130	10
33	156	52
120	110	29
46	112	30
47	189	28
47	114	14
33	138	63
31	140	69
28	121	39
31	118	26
29	113	80
29	160	31
34	114	63
36	121	46
29	110	87
33	123	49
39	119	66
56	117	35
139	112	32
131	129	34
113	111	38
113	150	18
113	121	30
112	107	34
144	120	20
113	101	27
112	115	28
113	116	26
135	114	36
129	116	28
134	117	28
120	110	25
133	130	64
124	121	23
122	102	24
93	149	15
60	143	14
117	141	28
119	170	17
116	162	35
116	112	15
113	136	13
116	99	16
85	90	20
130	109	21
113	152	15
113	137	19
99	101	13
93	67	17
70	67	16
113	147	12
107	151	13
122	134	17
116	140	17
70	150	12
145	147	22
60	150	14
50	143	9
70	145	11
122	125	24
77	143	10
103	94	25
127	124	20
118	130	23
119	124	21
63	112	13
106	113	14
106	101	18
106	105	18
144	119	16
106	108	14
152	134	14
157	130	12
23	105	34
70	136	18
59	121	23
59	123	18
42	150	8
49	88	28
42	107	39
36	106	50
34	116	55
33	122	71
